pais_autor,titulo,sitio_detectado,paises_del_sitio,clasificacion
gb,SIGGRAPH 2019 Art Gallery,vienna,at,ajeno
gb,Novel lichen simulation and laser scan modelling to reveal lichen-covered carvings at Stonehenge,stonehenge,gb,propio
gb,itu-khistory: ITU Pass-2 Development Toolkit #37 (History Information Theory K_history),herculaneum,it,ajeno
gb,itu-khistory: ITU Pass-2 Development Toolkit #37 (History Information Theory K_history),herculaneum,it,ajeno
gb,Ep. 1059: Google's World Models: The Shift from Chatbots to Reality,jerusalem,nan,ajeno
gb,Ep. 1059: Google's World Models: The Shift from Chatbots to Reality,jerusalem,nan,ajeno
gb,Impact of Artificial Intelligence (AI) in the Cultural and Creative Sectors (CCS) – Assessment Report,berlin,de,ajeno
gb,Impact of Artificial Intelligence (AI) in the Cultural and Creative Sectors (CCS) – Assessment Report,berlin,de,ajeno
gb,Understanding resilience to High-Impact Low-Probability events: a tiered stress testing methodology implemented in the municipality of Venice,venice,it,ajeno
gb,Ep. 1914: Google Invented RAG's Secret Sauce,taj mahal,in,ajeno
gb,Ep. 1914: Google Invented RAG's Secret Sauce,taj mahal,in,ajeno
gb,Issues in Book Publishing in Sub-Saharan Africa,lagos,cn,ajeno
gb,Issues in Book Publishing in Sub-Saharan Africa,lagos,cn,ajeno
gb,Ep. 233: The Sound Spotlight: How Beamforming Redefines Audio,jerusalem,nan,ajeno
gb,Ep. 233: The Sound Spotlight: How Beamforming Redefines Audio,jerusalem,nan,ajeno
gb,Top-Rated LGA Abstracts 2023,madrid,es,ajeno
gr,The Classification of Cultural Heritage Buildings in Athens Using Deep Learning Techniques,athens,gr,propio
gr,Assessing Wildfire Risk in Cultural Heritage Properties Using High Spatial and Temporal Resolution Satellite Imagery and Spatially Explicit Fire Simulations: The Case of Holy Mount,mount athos,gr,propio
gr,METAGENOMICS OF THE BUILT CULTURAL HERITAGE: MICROBIOTA CHARACTERIZATION OF THE BUILDING MATERIALS OF THE HOLY AEDICULE OF THE HOLY SEPULCHRE IN JERUSALEM,jerusalem,nan,ajeno
gr,"THE CONTRIBUTION OF INFORMATION TECHNOLOGIES TO THE PROTECTION OF WORLD CULTURAL AND NATURAL HERITAGE MONUMENTS ""THE CASE OF ANCIENT PHILIPPI, GREECE""",archaeological site of philippi,gr,propio
gr,DEEP LEARNING APPROACH FOR THE IDENTIFICATION OF STRUCTURAL LAYERS IN HISTORIC MONUMENTS FROM GROUND PENETRATING RADAR IMAGES,jerusalem,nan,ajeno
gr,Semantic classification of monuments' decoration materials using convolutional neural networks,churches,in,ajeno
gr,"Cost-Efficient RSSI-Based Indoor Proximity Positioning, for Large/Complex Museum Exhibition Spaces",athens,gr,propio
gr,Remote sensing techniques for monitoring cultural heritage sites&amp;#160;,granada,es,ajeno
gr,Machine Learning-Based Forecasting of Indoor Microclimate Conditions for Heritage Conservation: A Case Study at the Archaeological Museum of Delphi,delphi,gr,propio
gr,The classification of cultural heritage buildings in Athens using deep learning techniques,athens,gr,propio
gr,The classification of cultural heritage buildings in Athens using deep learning techniques,athens,gr,propio
gr,"A Multi-Analytical Approach for the Investigation of Black Crusts on Two Monuments in Athens, Greece",athens,gr,propio
gr,Addressing Air Pollution Challenges: An Integrated Algorithmic Approach Towards Safeguarding Built Heritage,athens,gr,propio
gr,Custom Named Entity Recognition VS ChatGPT Prompting: A Paleontology Experiment,athens,gr,propio
gr,AI-Driven Sentiment Analysis: A Unified Framework for Strategic Insights in Tourism,archaeological site of mystras,gr,propio
gr,"Synergy of accelerometer, GNSS, InSAR and TLS measurements in the light of PROION Project",olympia,gr,propio
